tweet_id,favorites,retweets,user_followers,user_favourites,date_time
777885040357281792,6465,1653,8769717,145944,2016-09-19 15:00:20
777684233540206592,11431,2984,8769717,145944,2016-09-19 01:42:24
777641927919427584,0,4313,8769717,145944,2016-09-18 22:54:18
777621514455814149,8914,2546,8769717,145944,2016-09-18 21:33:11
777189768882946048,14527,4377,8769717,145944,2016-09-17 16:57:35
776819012571455488,0,13952,8770371,145945,2016-09-16 16:24:19
776813020089548800,4957,1234,8769717,145944,2016-09-16 16:00:31
776477788987613185,8979,2833,8769717,145944,2016-09-15 17:48:25
776249906839351296,0,9315,8769717,145944,2016-09-15 02:42:54
776218204058357768,30419,16157,8769717,145944,2016-09-15 00:36:55
776201521193218049,9791,2554,8769717,145944,2016-09-14 23:30:38
776113305656188928,11978,4427,8769717,145944,2016-09-14 17:40:06
776088319444877312,1875,153,8769717,145944,2016-09-14 16:00:49
775898661951791106,0,16842,8769717,145944,2016-09-14 03:27:11
775842724423557120,11912,2703,8769717,145944,2016-09-13 23:44:54
775733305207554048,14092,4055,8769717,145944,2016-09-13 16:30:07
775729183532220416,13181,4670,8769717,145944,2016-09-13 16:13:44
775364825476165632,7522,3019,8769717,145944,2016-09-12 16:05:54
775350846108426240,10324,3967,8769717,145944,2016-09-12 15:10:21
775085132600442880,15812,4819,8769717,145944,2016-09-11 21:34:30
774757898236878852,8730,1819,8769717,145944,2016-09-10 23:54:11
774639387460112384,6847,1756,8769717,145944,2016-09-10 16:03:16
774314403806253056,22115,5623,8769717,145944,2016-09-09 18:31:54
773985732834758656,10908,3944,8769717,145944,2016-09-08 20:45:53
773922284943896577,6496,1777,8769717,145944,2016-09-08 16:33:46
773704687002451968,6704,1657,8769717,145944,2016-09-08 02:09:06
773670353721753600,5428,1335,8769717,145944,2016-09-07 23:52:41
773547596996571136,22463,6276,8769717,145944,2016-09-07 15:44:53
773336787167145985,0,5169,8769717,145944,2016-09-07 01:47:12
773308824254029826,23670,7588,8769717,145944,2016-09-06 23:56:05
773247561583001600,9606,3297,8769717,145944,2016-09-06 19:52:39
773191612633579521,10147,4215,8769717,145944,2016-09-06 16:10:20
772877495989305348,8705,3944,8769717,145944,2016-09-05 19:22:09
772826264096874500,8185,2390,8769717,145944,2016-09-05 15:58:34
772615324260794368,0,3436,8769717,145944,2016-09-05 02:00:22
772581559778025472,6601,1721,8769717,145944,2016-09-04 23:46:12
772193107915964416,6135,1415,8769717,145944,2016-09-03 22:02:38
772152991789019136,3862,1149,8769717,145944,2016-09-03 19:23:13
772117678702071809,3828,751,8769717,145944,2016-09-03 17:02:54
772114945936949249,2762,474,8769717,145944,2016-09-03 16:52:02
772102971039580160,4061,953,8769717,145944,2016-09-03 16:04:27
771908950375665664,6681,1934,8769717,145944,2016-09-03 03:13:29
771770456517009408,12181,3444,8769717,145944,2016-09-02 18:03:10
771500966810099713,8383,2648,8769717,145944,2016-09-02 00:12:18
771380798096281600,10640,5169,8769717,145944,2016-09-01 16:14:48
771171053431250945,0,7600,8769717,145944,2016-09-01 02:21:21
771136648247640064,9277,2972,8769717,145944,2016-09-01 00:04:38
771102124360998913,6332,1461,8769717,145944,2016-08-31 21:47:27
771014301343748096,6986,1681,8769717,145944,2016-08-31 15:58:28
770787852854652928,4999,1217,8769717,145944,2016-08-31 00:58:39
770772759874076672,5258,1436,8769717,145944,2016-08-30 23:58:40
770655142660169732,7441,1797,8769717,145944,2016-08-30 16:11:18
770414278348247044,6406,2130,8769717,145944,2016-08-30 00:14:12
770293558247038976,6335,1504,8769717,145944,2016-08-29 16:14:30
770093767776997377,0,3102,8769717,145944,2016-08-29 03:00:36
770069151037685760,7696,2328,8769717,145944,2016-08-29 01:22:47
769940425801170949,31820,9708,8769717,145944,2016-08-28 16:51:16
769695466921623552,6495,1698,8769717,145944,2016-08-28 00:37:54
769335591808995329,0,7836,8769717,145944,2016-08-27 00:47:53
769212283578875904,5475,1751,8769717,145944,2016-08-26 16:37:54
768970937022709760,14564,6605,8770371,145945,2016-08-26 00:38:52
768909767477751808,0,2716,8769717,145944,2016-08-25 20:35:48
768855141948723200,4261,901,8769717,145944,2016-08-25 16:58:45
768609597686943744,4178,1221,8769717,145944,2016-08-25 00:43:02
768596291618299904,5104,1298,8769717,145944,2016-08-24 23:50:10
768554158521745409,0,5917,8769717,145944,2016-08-24 21:02:45
768473857036525572,13807,3479,8769717,145944,2016-08-24 15:43:39
768193404517830656,11017,3593,8769717,145944,2016-08-23 21:09:14
767884188863397888,4807,1403,8769717,145944,2016-08-23 00:40:31
767754930266464257,16223,5469,8769717,145944,2016-08-22 16:06:54
767500508068192258,7593,2373,8769717,145944,2016-08-21 23:15:55
767191397493538821,12453,3816,8769717,145944,2016-08-21 02:47:37
767122157629476866,10302,2899,8769717,145944,2016-08-20 22:12:29
766864461642756096,0,5716,8769717,145944,2016-08-20 05:08:29
766793450729734144,5138,1371,8769717,145944,2016-08-20 00:26:19
766714921925144576,2637,383,8769717,145944,2016-08-19 19:14:16
766693177336135680,4066,810,8769717,145944,2016-08-19 17:47:52
766423258543644672,6067,1611,8769717,145944,2016-08-18 23:55:18
766313316352462849,6873,1912,8769717,145944,2016-08-18 16:38:26
766078092750233600,0,2663,8769717,145944,2016-08-18 01:03:45
766069199026450432,4282,864,8769716,145944,2016-08-18 00:28:24
766008592277377025,3792,503,8769716,145944,2016-08-17 20:27:34
765719909049503744,7316,2177,8769716,145944,2016-08-17 01:20:27
765669560888528897,5251,1241,8769716,145944,2016-08-16 22:00:23
765395769549590528,26896,3419,8769716,145944,2016-08-16 03:52:26
765371061932261376,7155,2194,8769716,145944,2016-08-16 02:14:15
765222098633691136,11764,3436,8769716,145944,2016-08-15 16:22:20
764857477905154048,6526,1795,8769716,145944,2016-08-14 16:13:27
764259802650378240,6088,1521,8769716,145944,2016-08-13 00:38:30
763956972077010945,764,56,8769716,145944,2016-08-12 04:35:10
763837565564780549,12738,4206,8769716,145944,2016-08-11 20:40:41
763183847194451968,5442,1489,8769716,145944,2016-08-10 01:23:03
763167063695355904,0,3061,8769716,145944,2016-08-10 00:16:21
763103485927849985,7443,2319,8769716,145944,2016-08-09 20:03:43
762699858130116608,12275,3662,8769716,145944,2016-08-08 17:19:51
762471784394268675,11340,6502,8769716,145944,2016-08-08 02:13:34
762464539388485633,10414,4227,8769716,145944,2016-08-08 01:44:46
762316489655476224,4857,1134,8769716,145944,2016-08-07 15:56:28
762035686371364864,32254,15723,8769716,145944,2016-08-06 21:20:40
761976711479193600,5473,2033,8769716,145944,2016-08-06 17:26:19
761750502866649088,0,3965,8769716,145944,2016-08-06 02:27:27
761745352076779520,4311,874,8769716,145944,2016-08-06 02:06:59
761672994376806400,50044,29434,8769716,145944,2016-08-05 21:19:27
761599872357261312,4171,1200,8769716,145944,2016-08-05 16:28:54
761371037149827077,0,18267,8769716,145944,2016-08-05 01:19:35
761334018830917632,5248,1465,8769716,145944,2016-08-04 22:52:29
761292947749015552,4534,1096,8769716,145944,2016-08-04 20:09:17
761227390836215808,5373,1585,8769716,145944,2016-08-04 15:48:47
761004547850530816,11450,3517,8769716,145944,2016-08-04 01:03:17
760893934457552897,3856,988,8769716,145944,2016-08-03 17:43:45
760656994973933572,6658,1930,8769716,145944,2016-08-03 02:02:14
760641137271070720,5024,1316,8769716,145944,2016-08-03 00:59:13
760539183865880579,7646,3667,8769716,145944,2016-08-02 18:14:06
760521673607086080,4267,1402,8769716,145944,2016-08-02 17:04:31
760290219849637889,27092,11636,8769716,145944,2016-08-02 01:44:48
760252756032651264,3978,879,8769716,145944,2016-08-01 23:15:56
760190180481531904,5749,1824,8769716,145944,2016-08-01 19:07:17
760153949710192640,0,31,8769716,145944,2016-08-01 16:43:19
759943073749200896,6011,2098,8769716,145944,2016-08-01 02:45:22
759923798737051648,14818,5716,8769716,145944,2016-08-01 01:28:46
759846353224826880,6792,2002,8769716,145944,2016-07-31 20:21:02
759793422261743616,6022,1937,8769716,145944,2016-07-31 16:50:42
759557299618865152,4748,1198,8769716,145944,2016-07-31 01:12:26
759447681597108224,8567,2476,8769716,145944,2016-07-30 17:56:51
759446261539934208,1691,494,8769716,145944,2016-07-30 17:51:13
759197388317847553,6131,1968,8769716,145944,2016-07-30 01:22:17
759159934323924993,0,1170,8769716,145944,2016-07-29 22:53:27
759099523532779520,14666,4215,8769721,145944,2016-07-29 18:53:24
759047813560868866,6553,2047,8769721,145944,2016-07-29 15:27:55
758854675097526272,3589,907,8769721,145944,2016-07-29 02:40:28
758828659922702336,11327,3874,8769721,145944,2016-07-29 00:57:05
758740312047005698,5787,1626,8769721,145944,2016-07-28 19:06:01
758474966123810816,3846,1014,8769721,145944,2016-07-28 01:31:38
758467244762497024,4835,2240,8769721,145944,2016-07-28 01:00:57
758405701903519748,5248,1930,8769721,145944,2016-07-27 20:56:24
758355060040593408,3431,1092,8769721,145944,2016-07-27 17:35:10
758099635764359168,19273,10104,8769721,145944,2016-07-27 00:40:12
758041019896193024,2728,380,8769721,145944,2016-07-26 20:47:17
757741869644341248,6936,3284,8769721,145944,2016-07-26 00:58:34
757729163776290825,0,8028,8769721,145944,2016-07-26 00:08:05
757725642876129280,4584,1224,8769721,145944,2016-07-25 23:54:05
757611664640446465,4602,1115,8769721,145944,2016-07-25 16:21:11
757597904299253760,0,301,8769721,145944,2016-07-25 15:26:30
757596066325864448,4375,1070,8769721,145944,2016-07-25 15:19:12
757400162377592832,15290,6923,8769721,145944,2016-07-25 02:20:45
757393109802180609,5875,1754,8769721,145944,2016-07-25 01:52:43
757354760399941633,4560,1435,8769721,145944,2016-07-24 23:20:20
756998049151549440,6345,2002,8769721,145944,2016-07-23 23:42:53
756939218950160384,6710,2029,8769721,145944,2016-07-23 19:49:07
756651752796094464,5114,1319,8769721,145944,2016-07-23 00:46:50
756526248105566208,10503,3618,8770375,145945,2016-07-22 16:28:07
756303284449767430,3975,1105,8769721,145944,2016-07-22 01:42:09
756288534030475264,43144,17621,8769721,145944,2016-07-22 00:43:32
756275833623502848,6481,1549,8769721,145944,2016-07-21 23:53:04
755955933503782912,7405,2908,8769721,145944,2016-07-21 02:41:54
755206590534418437,16596,5406,8769721,145944,2016-07-19 01:04:16
755110668769038337,21395,11202,8769721,145944,2016-07-18 18:43:07
754874841593970688,0,7993,8769721,145944,2016-07-18 03:06:01
754856583969079297,6964,2551,8769721,145944,2016-07-18 01:53:28
754747087846248448,2609,527,8769721,145944,2016-07-17 18:38:22
754482103782404096,5347,1970,8769721,145944,2016-07-17 01:05:25
754449512966619136,3786,736,8769721,145944,2016-07-16 22:55:55
754120377874386944,7943,2377,8770375,145945,2016-07-16 01:08:03
753655901052166144,5883,2186,8769721,145944,2016-07-14 18:22:23
753420520834629632,7976,3603,8769721,145944,2016-07-14 02:47:04
753398408988139520,5812,1922,8769721,145944,2016-07-14 01:19:12
753375668877008896,7717,2344,8769721,145944,2016-07-13 23:48:51
753298634498793472,0,5751,8769721,145944,2016-07-13 18:42:44
753294487569522689,3404,1052,8769721,145944,2016-07-13 18:26:16
753039830821511168,37418,21066,8769721,145944,2016-07-13 01:34:21
753026973505581056,3947,977,8769721,145944,2016-07-13 00:43:15
752932432744185856,12737,6907,8769721,145944,2016-07-12 18:27:35
752917284578922496,6983,1593,8769721,145944,2016-07-12 17:27:23
752701944171524096,0,2897,8769721,145944,2016-07-12 03:11:42
752682090207055872,6044,1605,8769721,145944,2016-07-12 01:52:49
752660715232722944,4411,1569,8769721,145944,2016-07-12 00:27:52
752568224206688256,5557,2301,8769721,145944,2016-07-11 18:20:21
752519690950500352,7423,3464,8769721,145944,2016-07-11 15:07:30
752334515931054080,3844,1100,8769721,145944,2016-07-11 02:51:40
752309394570878976,0,16394,8769721,145944,2016-07-11 01:11:51
752173152931807232,6011,1854,8769721,145944,2016-07-10 16:10:29
751950017322246144,3089,930,8770375,145945,2016-07-10 01:23:49
751937170840121344,5234,1346,8769721,145944,2016-07-10 00:32:46
751830394383790080,5851,1964,8769721,145944,2016-07-09 17:28:29
751793661361422336,5878,2923,8769721,145944,2016-07-09 15:02:31
751598357617971201,7988,3063,8769721,145944,2016-07-09 02:06:27
751583847268179968,4433,1115,8769721,145944,2016-07-09 01:08:47
751538714308972544,5079,1273,8769721,145944,2016-07-08 22:09:27
751456908746354688,3246,1011,8769721,145944,2016-07-08 16:44:23
751251247299190784,12614,5923,8769721,145944,2016-07-08 03:07:09
751205363882532864,6373,1832,8769721,145944,2016-07-08 00:04:50
751132876104687617,5107,1308,8769721,145944,2016-07-07 19:16:47
750868782890057730,4829,1377,8769721,145944,2016-07-07 01:47:22
750719632563142656,13279,5081,8769721,145944,2016-07-06 15:54:42
750506206503038976,4472,1150,8769721,145944,2016-07-06 01:46:38
750429297815552001,13267,4313,8769721,145944,2016-07-05 20:41:01
750383411068534784,4590,1156,8769721,145944,2016-07-05 17:38:41
750381685133418496,705,28,8769721,145944,2016-07-05 17:31:49
750147208377409536,3126,968,8769721,145944,2016-07-05 02:00:06
750132105863102464,3641,1302,8769721,145944,2016-07-05 01:00:05
750117059602808832,4361,1322,8769721,145944,2016-07-05 00:00:18
750101899009982464,3058,851,8769721,145944,2016-07-04 23:00:03
750086836815486976,2185,540,8769721,145944,2016-07-04 22:00:12
750071704093859840,7883,3361,8769721,145944,2016-07-04 21:00:04
750056684286914561,3183,901,8769721,145944,2016-07-04 20:00:23
750041628174217216,3205,624,8769721,145944,2016-07-04 19:00:33
750026558547456000,2735,794,8769721,145944,2016-07-04 18:00:41
750011400160841729,3265,909,8769721,145944,2016-07-04 17:00:26
749996283729883136,3089,823,8769721,145944,2016-07-04 16:00:22
749981277374128128,5156,2480,8769721,145944,2016-07-04 15:00:45
749774190421639168,4685,1322,8769721,145944,2016-07-04 01:17:51
749417653287129088,6146,1651,8769721,145944,2016-07-03 01:41:06
749403093750648834,2642,537,8769721,145944,2016-07-03 00:43:15
749395845976588288,8616,3459,8769721,145944,2016-07-03 00:14:27
749317047558017024,5534,2245,8769721,145944,2016-07-02 19:01:20
749075273010798592,5784,2083,8769721,145944,2016-07-02 03:00:36
749064354620928000,4841,1534,8769721,145944,2016-07-02 02:17:13
749036806121881602,3112,798,8769721,145944,2016-07-02 00:27:45
748977405889503236,10835,3408,8769721,145944,2016-07-01 20:31:43
748932637671223296,5848,2267,8769721,145944,2016-07-01 17:33:49
748705597323898880,2792,955,8769721,145944,2016-07-01 02:31:39
748699167502000129,4771,1597,8769721,145944,2016-07-01 02:06:06
748692773788876800,4271,1338,8769721,145944,2016-07-01 01:40:41
748575535303884801,6109,1983,8769721,145944,2016-06-30 17:54:50
748568946752774144,2208,670,8769721,145944,2016-06-30 17:28:39
748346686624440324,5243,1229,8769721,145944,2016-06-30 02:45:28
748337862848962560,7688,4130,8769721,145944,2016-06-30 02:10:24
748324050481647620,3694,763,8769721,145944,2016-06-30 01:15:31
748307329658011649,3686,715,8769721,145944,2016-06-30 00:09:04
748220828303695873,14215,7843,8769721,145944,2016-06-29 18:25:21
747963614829678593,5804,2151,8769721,145944,2016-06-29 01:23:16
747933425676525569,6632,2550,8769721,145944,2016-06-28 23:23:19
747885874273214464,2961,980,8769721,145944,2016-06-28 20:14:22
747844099428986880,2834,750,8769721,145944,2016-06-28 17:28:22
747816857231626240,4875,1169,8769721,145944,2016-06-28 15:40:07
747651430853525504,1396,157,8769721,145944,2016-06-28 04:42:46
747648653817413632,12962,5883,8769721,145944,2016-06-28 04:31:44
747600769478692864,2341,555,8769721,145944,2016-06-28 01:21:27
747594051852075008,3698,1058,8769721,145944,2016-06-28 00:54:46
747512671126323200,5570,1617,8769721,145944,2016-06-27 19:31:23
747461612269887489,3889,1045,8769721,145944,2016-06-27 16:08:30
747439450712596480,5451,1922,8769721,145944,2016-06-27 14:40:26
747242308580548608,0,2910,8769721,145944,2016-06-27 01:37:04
747219827526344708,5280,1579,8769721,145944,2016-06-27 00:07:44
747204161125646336,3385,926,8769721,145944,2016-06-26 23:05:29
747103485104099331,9600,3972,8769721,145944,2016-06-26 16:25:26
746906459439529985,2905,298,8769721,145944,2016-06-26 03:22:31
746872823977771008,6011,2138,8769721,145944,2016-06-26 01:08:52
746818907684614144,5333,1744,8769721,145944,2016-06-25 21:34:37
746790600704425984,4894,1610,8769721,145944,2016-06-25 19:42:08
746757706116112384,9598,3925,8769721,145944,2016-06-25 17:31:25
746726898085036033,6070,1803,8769721,145944,2016-06-25 15:29:00
746542875601690625,5057,1883,8769721,145944,2016-06-25 03:17:46
746521445350707200,0,985,8769721,145944,2016-06-25 01:52:36
746507379341139972,4675,1085,8769721,145944,2016-06-25 00:56:43
746369468511756288,6200,1634,8769721,145944,2016-06-24 15:48:42
746131877086527488,6931,2209,8769721,145944,2016-06-24 00:04:36
746056683365994496,3563,812,8769721,145944,2016-06-23 19:05:49
745789745784041472,4044,1069,8769721,145944,2016-06-23 01:25:06
745712589599014916,7024,2337,8769721,145944,2016-06-22 20:18:30
745433870967832576,7100,2543,8769721,145944,2016-06-22 01:50:58
745422732645535745,8596,2441,8769721,145944,2016-06-22 01:06:43
745314880350101504,7206,2758,8769721,145944,2016-06-21 17:58:09
745074613265149952,7859,3516,8769721,145944,2016-06-21 02:03:25
745057283344719872,7270,2271,8769721,145944,2016-06-21 00:54:33
744995568523612160,2972,623,8769721,145944,2016-06-20 20:49:19
744971049620602880,7906,2697,8769721,145944,2016-06-20 19:11:53
744709971296780288,5626,1566,8769721,145944,2016-06-20 01:54:27
744334592493166593,6804,2118,8769721,145944,2016-06-19 01:02:50
744234799360020481,156782,78122,8769721,145944,2016-06-18 18:26:18
744223424764059648,1670,367,8769721,145944,2016-06-18 17:41:06
743980027717509120,4181,1096,8769721,145944,2016-06-18 01:33:55
743895849529389061,3648,963,8769721,145944,2016-06-17 19:59:26
743835915802583040,0,2083,8769721,145944,2016-06-17 16:01:16
743609206067040256,4483,1382,8769721,145944,2016-06-17 01:00:24
743595368194129920,18428,6550,8769721,145944,2016-06-17 00:05:25
743545585370791937,3529,941,8769721,145944,2016-06-16 20:47:36
743510151680958465,7929,3729,8769721,145944,2016-06-16 18:26:48
743253157753532416,4237,1228,8769721,145944,2016-06-16 01:25:36
743222593470234624,6226,1904,8769721,145944,2016-06-15 23:24:09
743210557239623680,3842,1367,8769721,145944,2016-06-15 22:36:19
742534281772302336,7075,3579,8769721,145944,2016-06-14 01:49:03
742528092657332225,4424,1979,8769721,145944,2016-06-14 01:24:27
742465774154047488,7272,3905,8769721,145944,2016-06-13 21:16:49
742423170473463808,9834,3780,8769721,145944,2016-06-13 18:27:32
742385895052087300,6815,1972,8769721,145944,2016-06-13 15:59:24
742161199639494656,4349,1377,8770375,145945,2016-06-13 01:06:33
742150209887731712,5140,1554,8769721,145944,2016-06-13 00:22:53
741793263812808706,4545,1512,8769721,145944,2016-06-12 00:44:30
741743634094141440,8180,2758,8769721,145944,2016-06-11 21:27:17
741438259667034112,3683,838,8769721,145944,2016-06-11 01:13:51
741303864243200000,8785,3209,8769721,145944,2016-06-10 16:19:48
741099773336379392,10008,5522,8769722,145944,2016-06-10 02:48:49
741067306818797568,9515,3102,8769722,145944,2016-06-10 00:39:48
740995100998766593,6373,2748,8769722,145944,2016-06-09 19:52:53
740711788199743490,3406,938,8769722,145944,2016-06-09 01:07:06
740699697422163968,2856,786,8769722,145944,2016-06-09 00:19:04
740676976021798912,18182,6827,8769722,145944,2016-06-08 22:48:46
740373189193256964,35035,13323,8769723,145944,2016-06-08 02:41:38
740365076218183684,2461,431,8769723,145944,2016-06-08 02:09:24
740359016048689152,3302,869,8769723,145944,2016-06-08 01:45:19
740214038584557568,6693,1965,8769723,145944,2016-06-07 16:09:13
739979191639244800,19987,5917,8769723,145944,2016-06-07 00:36:02
739932936087216128,4060,1072,8769723,145944,2016-06-06 21:32:13
739844404073074688,3810,854,8769723,145944,2016-06-06 15:40:26
739623569819336705,3776,1353,8769723,145944,2016-06-06 01:02:55
739606147276148736,5383,1658,8769723,145944,2016-06-05 23:53:41
739544079319588864,39557,21256,8769723,145944,2016-06-05 19:47:03
739485634323156992,7156,2925,8769723,145944,2016-06-05 15:54:48
739238157791694849,115796,57913,8769723,145944,2016-06-04 23:31:25
738891149612572673,111,6,8769723,145944,2016-06-04 00:32:32
738885046782832640,3772,1141,8769723,145944,2016-06-04 00:08:17
738883359779196928,3307,791,8769723,145944,2016-06-04 00:01:35
738537504001953792,5093,1543,8769723,145944,2016-06-03 01:07:16
